model,seed,negative_mode,n_real_bs,n_hard_neg,auc,prc,acc,f1,mcc,real_bs_score,mismatch_score,score_gap
circcnn,123,upper_intron,2466,2466,0.5048780199027947,0.4877033163735037,0.5413625304136253,0.652,0.10718254184151087,0.8517579436302185,0.7751585245132446,0.07659941911697388
circcnndouble,123,upper_intron,2466,2466,0.501529396713388,0.48594816951379416,0.51338199513382,0.6168582375478927,0.03180240237062093,0.7209430932998657,0.7096414566040039,0.011301636695861816
circcnndoubleshare,123,upper_intron,2466,2466,0.5202341462708735,0.48250668936802316,0.5413625304136253,0.6587205793602897,0.11395510008699442,0.8764223456382751,0.7968096733093262,0.07961267232894897
circdc,123,upper_intron,2466,2466,0.5110037466560634,0.513684853607967,0.5119626926196269,0.5720888888888889,0.024930031708842254,0.7366030812263489,0.7182462811470032,0.018356800079345703
jedi,123,upper_intron,2466,2466,0.5070313933732337,0.5222507860511709,0.5012165450121655,0.5714285714285714,0.0025752515055311614,0.6918731331825256,0.68746417760849,0.0044089555740356445
circcnnsingle,123,upper_intron,2466,2466,0.5107905470604602,0.4923331767597462,0.5249391727493917,0.6111203319502074,0.05564239934090664,0.7614131569862366,0.7307063341140747,0.030706822872161865
deepcirccode,123,upper_intron,2466,2466,0.5114184704355553,0.4861594688603625,0.5263584752635847,0.6292063492063492,0.06336013996835146,0.7943874597549438,0.754412055015564,0.03997540473937988
bscan_unified_fm,123,upper_intron,2466,2466,0.4964463171147065,0.49799848689388376,0.5,0.6666666666666666,0.0,0.999971866607666,0.99996018409729,1.1682510375976562e-05
bscan_unified_ernie,123,upper_intron,2466,2466,0.4952393097628148,0.5037776040272448,0.5,0.6666666666666666,0.0,0.7174226641654968,0.718300998210907,-0.0008783340454101562
bscan_unified_msm,123,upper_intron,2466,2466,0.49917104576827176,0.4983603185601625,0.5002027575020276,0.6667567932945789,0.01424073807670717,0.8614979982376099,0.8614611029624939,3.68952751159668e-05
bscan_unified_bert,123,upper_intron,2466,2466,0.49711913327005586,0.4965703097163503,0.4975669099756691,0.6598956903650838,-0.01633235140542689,0.6761176586151123,0.6777438521385193,-0.0016261935234069824
bscan,315,upper_intron,2466,2466,0.5159167927940016,0.49225988658936076,0.5300081103000811,0.6021283899759697,0.06439702521778876,0.7671836614608765,0.7210500836372375,0.046133577823638916
circcnn,315,upper_intron,2466,2466,0.5125920137552795,0.4913973802798419,0.5237226277372263,0.586225118900828,0.049770874753207836,0.7350473403930664,0.6974292993545532,0.037618041038513184
circcnndouble,315,upper_intron,2466,2466,0.5166138642060818,0.4860762412755766,0.5192619626926196,0.6358470281062817,0.05015364855893865,0.8371478319168091,0.7965031266212463,0.040644705295562744
circcnndoubleshare,315,upper_intron,2466,2466,0.5128399107011891,0.4907267251700825,0.5304136253041363,0.6245136186770428,0.07029436241294135,0.7462884187698364,0.7137458324432373,0.03254258632659912
circdc,315,upper_intron,2466,2466,0.519408974214771,0.5183597993202247,0.5145985401459854,0.5725,0.030331099704571055,0.7469627261161804,0.7169175744056702,0.030045151710510254
jedi,315,upper_intron,2466,2466,0.506866704291092,0.5094043509696119,0.5115571776155717,0.587146529562982,0.024839615053463673,0.7246605753898621,0.7130814790725708,0.01157909631729126
circcnnsingle,315,upper_intron,2466,2466,0.5097804595047389,0.4882926926717176,0.5277777777777778,0.6352388410336727,0.06875878798307541,0.8207460045814514,0.7637456059455872,0.05700039863586426
deepcirccode,315,upper_intron,2466,2466,0.5088354089255398,0.4940493388868834,0.509529602595296,0.5817049974061905,0.020306676901867677,0.7109236121177673,0.6926283240318298,0.0182952880859375
bscan_unified_fm,315,upper_intron,2466,2466,0.5063389263488719,0.5034951474839029,0.4991889699918897,0.6639455782312925,-0.008261359951610162,0.9878365993499756,0.9896460175514221,-0.0018094182014465332
bscan_unified_ernie,315,upper_intron,2466,2466,0.49635151606043326,0.4854653096169434,0.5,0.6666666666666666,0.0,0.6675712466239929,0.6687393188476562,-0.00116807222366333
bscan_unified_msm,315,upper_intron,2466,2466,0.5028661491334872,0.5028525382897893,0.5,0.6666666666666666,0.0,0.8667035698890686,0.8658618330955505,0.0008417367935180664
bscan_unified_bert,315,upper_intron,2466,2466,0.49713286421200176,0.5044300652516793,0.5,0.6666666666666666,0.0,0.982333779335022,0.9828289747238159,-0.0004951953887939453
