model,seed,alpha,auc,prc
bscan_unified_ernie,9001,1.0,0.84155,0.736486
bscan_unified_msm,42,0.0,0.843509,0.712673
bscan_unified_msm,42,0.02,0.843809,0.719003
bscan_unified_msm,42,0.05,0.843971,0.719527
bscan_unified_msm,42,0.1,0.844196,0.720053
bscan_unified_msm,42,0.2,0.844571,0.720887
bscan_unified_msm,42,0.5,0.844989,0.723023
bscan_unified_msm,42,1.0,0.842714,0.724356
bscan_unified_msm,123,0.0,0.862881,0.760182
bscan_unified_msm,123,0.02,0.863087,0.767164
bscan_unified_msm,123,0.05,0.863183,0.767321
bscan_unified_msm,123,0.1,0.863392,0.768004
bscan_unified_msm,123,0.2,0.863624,0.768784
bscan_unified_msm,123,0.5,0.863719,0.771433
bscan_unified_msm,123,1.0,0.861373,0.77345
bscan_unified_msm,315,0.0,0.841478,0.707595
bscan_unified_msm,315,0.02,0.841756,0.711208
bscan_unified_msm,315,0.05,0.84205,0.711357
bscan_unified_msm,315,0.1,0.842506,0.711809
bscan_unified_msm,315,0.2,0.843339,0.712513
bscan_unified_msm,315,0.5,0.844273,0.715162
bscan_unified_msm,315,1.0,0.837696,0.71451
bscan_unified_msm,777,0.0,0.838894,0.72363
bscan_unified_msm,777,0.02,0.839637,0.734201
bscan_unified_msm,777,0.05,0.839983,0.734523
bscan_unified_msm,777,0.1,0.840487,0.735191
bscan_unified_msm,777,0.2,0.841149,0.736073
bscan_unified_msm,777,0.5,0.841715,0.738283
bscan_unified_msm,777,1.0,0.836099,0.737191
bscan_unified_msm,1004,0.0,0.849205,0.744967
bscan_unified_msm,1004,0.02,0.850266,0.7569
bscan_unified_msm,1004,0.05,0.85057,0.75716
bscan_unified_msm,1004,0.1,0.851043,0.757494
bscan_unified_msm,1004,0.2,0.85186,0.758244
bscan_unified_msm,1004,0.5,0.853677,0.761112
bscan_unified_msm,1004,1.0,0.852019,0.761485
bscan_unified_msm,2024,0.0,0.849191,0.748238
bscan_unified_msm,2024,0.02,0.85063,0.762155
bscan_unified_msm,2024,0.05,0.850693,0.761912
bscan_unified_msm,2024,0.1,0.850859,0.762021
bscan_unified_msm,2024,0.2,0.851009,0.762413
bscan_unified_msm,2024,0.5,0.85054,0.76209
bscan_unified_msm,2024,1.0,0.846499,0.75999
bscan_unified_msm,2025,0.0,0.810357,0.692431
bscan_unified_msm,2025,0.02,0.810939,0.696677
bscan_unified_msm,2025,0.05,0.811619,0.697043
bscan_unified_msm,2025,0.1,0.81265,0.69799
bscan_unified_msm,2025,0.2,0.814322,0.699099
bscan_unified_msm,2025,0.5,0.816324,0.701759
bscan_unified_msm,2025,1.0,0.804797,0.700906
bscan_unified_msm,2026,0.0,0.857203,0.759284
bscan_unified_msm,2026,0.02,0.857839,0.769022
bscan_unified_msm,2026,0.05,0.857864,0.768706
bscan_unified_msm,2026,0.1,0.857869,0.768223
bscan_unified_msm,2026,0.2,0.858096,0.768276
bscan_unified_msm,2026,0.5,0.857911,0.768286
bscan_unified_msm,2026,1.0,0.855424,0.767089
bscan_unified_msm,3407,0.0,0.86135,0.763581
bscan_unified_msm,3407,0.02,0.862681,0.779821
bscan_unified_msm,3407,0.05,0.86285,0.780076
bscan_unified_msm,3407,0.1,0.86305,0.78023
bscan_unified_msm,3407,0.2,0.863388,0.780518
bscan_unified_msm,3407,0.5,0.863772,0.78047
bscan_unified_msm,3407,1.0,0.861616,0.779684
bscan_unified_msm,9001,0.0,0.841078,0.722984
