=== Waiting for all 35 ablation checkpoints ===
  19:22: 18/35 done, waiting...
  19:24: 18/35 done, waiting...
  19:26: 18/35 done, waiting...
  19:28: 18/35 done, waiting...
  19:30: 18/35 done, waiting...
  19:32: 18/35 done, waiting...
  19:34: 18/35 done, waiting...
  19:36: 18/35 done, waiting...
  19:38: 18/35 done, waiting...
  19:40: 18/35 done, waiting...
  19:42: 18/35 done, waiting...
  19:44: 18/35 done, waiting...
  19:46: 18/35 done, waiting...
  19:48: 18/35 done, waiting...
  19:50: 18/35 done, waiting...
  19:52: 18/35 done, waiting...
  19:54: 18/35 done, waiting...
  19:56: 18/35 done, waiting...
  19:58: 18/35 done, waiting...
  20:00: 18/35 done, waiting...
  20:02: 18/35 done, waiting...
  20:04: 18/35 done, waiting...
  20:06: 18/35 done, waiting...
  20:08: 18/35 done, waiting...
  20:10: 18/35 done, waiting...
  20:12: 18/35 done, waiting...
  20:14: 18/35 done, waiting...
  20:16: 18/35 done, waiting...
  20:18: 18/35 done, waiting...
  20:20: 18/35 done, waiting...
  20:22: 18/35 done, waiting...
  20:24: 18/35 done, waiting...
  20:26: 18/35 done, waiting...
  20:28: 18/35 done, waiting...
  20:30: 18/35 done, waiting...
  20:32: 18/35 done, waiting...
  20:34: 18/35 done, waiting...
  20:36: 18/35 done, waiting...
  20:38: 18/35 done, waiting...
  20:40: 18/35 done, waiting...
  20:42: 18/35 done, waiting...
  20:44: 18/35 done, waiting...
  20:46: 18/35 done, waiting...
  20:48: 18/35 done, waiting...
  20:50: 18/35 done, waiting...
  20:52: 18/35 done, waiting...
  20:54: 18/35 done, waiting...
  20:56: 18/35 done, waiting...
  20:58: 18/35 done, waiting...
  21:00: 18/35 done, waiting...
  21:02: 18/35 done, waiting...
  21:04: 18/35 done, waiting...
  21:06: 18/35 done, waiting...
  21:08: 18/35 done, waiting...
  21:10: 18/35 done, waiting...
  21:12: 18/35 done, waiting...
  21:14: 18/35 done, waiting...
  21:16: 18/35 done, waiting...
  21:18: 18/35 done, waiting...
  21:20: 18/35 done, waiting...
  21:22: 18/35 done, waiting...
  21:24: 18/35 done, waiting...
  21:26: 18/35 done, waiting...
  21:28: 18/35 done, waiting...
  21:30: 18/35 done, waiting...
  21:32: 18/35 done, waiting...
  21:34: 18/35 done, waiting...
  21:36: 18/35 done, waiting...
  21:38: 18/35 done, waiting...
  21:40: 18/35 done, waiting...
  21:42: 18/35 done, waiting...
  21:44: 18/35 done, waiting...
  21:46: 18/35 done, waiting...
  21:48: 18/35 done, waiting...
  21:50: 18/35 done, waiting...
  21:52: 18/35 done, waiting...
  21:54: 18/35 done, waiting...
  21:56: 18/35 done, waiting...
  21:58: 18/35 done, waiting...
  22:00: 18/35 done, waiting...
  22:02: 18/35 done, waiting...
  22:04: 18/35 done, waiting...
  22:06: 18/35 done, waiting...
  22:08: 18/35 done, waiting...
  22:10: 18/35 done, waiting...
  22:12: 18/35 done, waiting...
  22:14: 18/35 done, waiting...
  22:16: 18/35 done, waiting...
  22:18: 18/35 done, waiting...
  22:20: 18/35 done, waiting...
  22:22: 18/35 done, waiting...
  22:24: 18/35 done, waiting...
  22:26: 18/35 done, waiting...
  22:28: 18/35 done, waiting...
  22:30: 18/35 done, waiting...
  22:32: 18/35 done, waiting...
  22:34: 18/35 done, waiting...
  22:36: 18/35 done, waiting...
  22:38: 18/35 done, waiting...
  22:40: 18/35 done, waiting...
  22:42: 18/35 done, waiting...
  22:44: 18/35 done, waiting...
  22:46: 18/35 done, waiting...
  22:48: 18/35 done, waiting...
  22:50: 18/35 done, waiting...
  22:52: 18/35 done, waiting...
  22:54: 18/35 done, waiting...
  22:56: 18/35 done, waiting...
  22:58: 18/35 done, waiting...
  23:00: 18/35 done, waiting...
  23:02: 18/35 done, waiting...
  23:04: 18/35 done, waiting...
  23:06: 18/35 done, waiting...
  23:08: 18/35 done, waiting...
  23:10: 18/35 done, waiting...
  23:12: 18/35 done, waiting...
  23:14: 18/35 done, waiting...
  23:16: 18/35 done, waiting...
  23:18: 18/35 done, waiting...
  23:20: 18/35 done, waiting...
  23:22: 18/35 done, waiting...
  23:24: 18/35 done, waiting...
  23:26: 18/35 done, waiting...
  23:28: 18/35 done, waiting...
  23:30: 18/35 done, waiting...
  23:32: 18/35 done, waiting...
  23:34: 18/35 done, waiting...
  23:36: 18/35 done, waiting...
  23:38: 18/35 done, waiting...
  23:40: 18/35 done, waiting...
  23:42: 18/35 done, waiting...
  23:44: 18/35 done, waiting...
  23:46: 18/35 done, waiting...
  23:48: 18/35 done, waiting...
  23:50: 18/35 done, waiting...
  23:52: 18/35 done, waiting...
  23:54: 18/35 done, waiting...
  23:56: 18/35 done, waiting...
  23:58: 18/35 done, waiting...
  00:00: 18/35 done, waiting...
  00:02: 18/35 done, waiting...
  00:04: 18/35 done, waiting...
  00:06: 18/35 done, waiting...
  00:08: 18/35 done, waiting...
  00:10: 18/35 done, waiting...
  00:12: 18/35 done, waiting...
  00:14: 18/35 done, waiting...
  00:16: 18/35 done, waiting...
  00:18: 18/35 done, waiting...
  00:20: 18/35 done, waiting...
  00:22: 18/35 done, waiting...
  00:24: 18/35 done, waiting...
  00:26: 18/35 done, waiting...
  00:28: 18/35 done, waiting...
  00:30: 18/35 done, waiting...
  00:32: 18/35 done, waiting...
  00:34: 18/35 done, waiting...
  00:36: 18/35 done, waiting...
  00:38: 18/35 done, waiting...
  00:40: 18/35 done, waiting...
  00:42: 18/35 done, waiting...
  00:44: 18/35 done, waiting...
  00:46: 18/35 done, waiting...
  00:48: 18/35 done, waiting...
  00:50: 18/35 done, waiting...
  00:52: 18/35 done, waiting...
  00:54: 18/35 done, waiting...
  00:56: 18/35 done, waiting...
  00:58: 18/35 done, waiting...
  01:00: 18/35 done, waiting...
  01:02: 18/35 done, waiting...
  01:04: 18/35 done, waiting...
  01:06: 18/35 done, waiting...
  01:08: 18/35 done, waiting...
  01:10: 18/35 done, waiting...
  01:12: 18/35 done, waiting...
  01:14: 18/35 done, waiting...
  01:16: 18/35 done, waiting...
  01:18: 18/35 done, waiting...
  01:20: 18/35 done, waiting...
  01:22: 18/35 done, waiting...
  01:24: 18/35 done, waiting...
  01:26: 18/35 done, waiting...
  01:28: 18/35 done, waiting...
  01:30: 18/35 done, waiting...
  01:32: 18/35 done, waiting...
  01:34: 18/35 done, waiting...
  01:36: 18/35 done, waiting...
  01:38: 18/35 done, waiting...
  01:40: 18/35 done, waiting...
  01:42: 18/35 done, waiting...
  01:44: 18/35 done, waiting...
  01:46: 18/35 done, waiting...
  01:48: 18/35 done, waiting...
  01:50: 18/35 done, waiting...
  01:52: 18/35 done, waiting...
  01:54: 18/35 done, waiting...
  01:56: 18/35 done, waiting...
  01:58: 18/35 done, waiting...
  02:00: 18/35 done, waiting...
  02:02: 18/35 done, waiting...
  02:04: 18/35 done, waiting...
  02:06: 18/35 done, waiting...
  02:08: 18/35 done, waiting...
  02:10: 18/35 done, waiting...
  02:12: 18/35 done, waiting...
  02:14: 18/35 done, waiting...
  02:16: 18/35 done, waiting...
  02:18: 18/35 done, waiting...
  02:20: 18/35 done, waiting...
  02:22: 18/35 done, waiting...
  02:24: 18/35 done, waiting...
  02:26: 18/35 done, waiting...
  02:28: 18/35 done, waiting...
  02:30: 18/35 done, waiting...
  02:32: 18/35 done, waiting...
  02:34: 18/35 done, waiting...
  02:36: 18/35 done, waiting...
  02:38: 18/35 done, waiting...
  02:40: 18/35 done, waiting...
  02:42: 18/35 done, waiting...
  02:44: 18/35 done, waiting...
  02:46: 18/35 done, waiting...
  02:48: 18/35 done, waiting...
  02:50: 18/35 done, waiting...
  02:52: 18/35 done, waiting...
  02:54: 18/35 done, waiting...
  02:56: 18/35 done, waiting...
  02:58: 18/35 done, waiting...
  03:00: 18/35 done, waiting...
  03:02: 18/35 done, waiting...
  03:04: 18/35 done, waiting...
  03:06: 18/35 done, waiting...
  03:08: 18/35 done, waiting...
  03:10: 18/35 done, waiting...
  03:12: 18/35 done, waiting...
  03:14: 18/35 done, waiting...
  03:16: 18/35 done, waiting...
  03:18: 18/35 done, waiting...
  03:20: 18/35 done, waiting...
  03:22: 18/35 done, waiting...
  03:24: 18/35 done, waiting...
  03:26: 18/35 done, waiting...
  03:28: 18/35 done, waiting...
  03:30: 18/35 done, waiting...
  03:32: 18/35 done, waiting...
  03:34: 18/35 done, waiting...
  03:36: 18/35 done, waiting...
  03:38: 18/35 done, waiting...
  03:40: 18/35 done, waiting...
  03:42: 18/35 done, waiting...
  03:44: 18/35 done, waiting...
  03:46: 18/35 done, waiting...
  03:48: 18/35 done, waiting...
  03:50: 18/35 done, waiting...
  03:52: 18/35 done, waiting...
  03:54: 18/35 done, waiting...
  03:56: 18/35 done, waiting...
  03:58: 18/35 done, waiting...
  04:00: 18/35 done, waiting...
  04:02: 18/35 done, waiting...
  04:04: 18/35 done, waiting...
  04:06: 18/35 done, waiting...
  04:08: 18/35 done, waiting...
  04:10: 18/35 done, waiting...
  04:12: 18/35 done, waiting...
  04:14: 18/35 done, waiting...
  04:16: 18/35 done, waiting...
  04:18: 18/35 done, waiting...
  04:20: 18/35 done, waiting...
  04:22: 18/35 done, waiting...
  04:24: 18/35 done, waiting...
  04:26: 18/35 done, waiting...
  04:28: 18/35 done, waiting...
  04:30: 18/35 done, waiting...
  04:32: 18/35 done, waiting...
  04:34: 18/35 done, waiting...
  04:36: 18/35 done, waiting...
  04:38: 18/35 done, waiting...
  04:40: 18/35 done, waiting...
  04:42: 18/35 done, waiting...
  04:44: 18/35 done, waiting...
  04:46: 18/35 done, waiting...
  04:48: 18/35 done, waiting...
  04:50: 18/35 done, waiting...
  04:52: 18/35 done, waiting...
  04:54: 18/35 done, waiting...
  04:56: 18/35 done, waiting...
  04:58: 18/35 done, waiting...
  05:00: 18/35 done, waiting...
  05:02: 18/35 done, waiting...
  05:04: 18/35 done, waiting...
  05:06: 18/35 done, waiting...
  05:08: 18/35 done, waiting...
  05:10: 18/35 done, waiting...
  05:12: 18/35 done, waiting...
  05:14: 18/35 done, waiting...
  05:16: 18/35 done, waiting...
  05:18: 18/35 done, waiting...
  05:20: 18/35 done, waiting...
  05:22: 18/35 done, waiting...
  05:24: 18/35 done, waiting...
  05:26: 18/35 done, waiting...
  05:28: 18/35 done, waiting...
  05:30: 18/35 done, waiting...
  05:32: 18/35 done, waiting...
  05:34: 18/35 done, waiting...
  05:36: 18/35 done, waiting...
  05:38: 18/35 done, waiting...
  05:40: 18/35 done, waiting...
  05:42: 18/35 done, waiting...
  05:44: 18/35 done, waiting...
  05:46: 18/35 done, waiting...
  05:48: 18/35 done, waiting...
  05:50: 18/35 done, waiting...
  05:52: 18/35 done, waiting...
  05:54: 18/35 done, waiting...
  05:56: 18/35 done, waiting...
  05:58: 18/35 done, waiting...
  06:00: 18/35 done, waiting...
  06:02: 18/35 done, waiting...
  06:04: 18/35 done, waiting...
  06:06: 18/35 done, waiting...
  06:08: 18/35 done, waiting...
  06:10: 18/35 done, waiting...
  06:12: 18/35 done, waiting...
  06:14: 18/35 done, waiting...
  06:16: 18/35 done, waiting...
  06:18: 18/35 done, waiting...
  06:20: 18/35 done, waiting...
  06:22: 18/35 done, waiting...
  06:24: 18/35 done, waiting...
  06:26: 18/35 done, waiting...
  06:28: 18/35 done, waiting...
  06:30: 18/35 done, waiting...
  06:32: 18/35 done, waiting...
  06:34: 18/35 done, waiting...
  06:36: 18/35 done, waiting...
  06:38: 18/35 done, waiting...
  06:40: 18/35 done, waiting...
  06:42: 18/35 done, waiting...
  06:44: 18/35 done, waiting...
  06:46: 18/35 done, waiting...
  06:48: 18/35 done, waiting...
  06:50: 18/35 done, waiting...
  06:52: 18/35 done, waiting...
  06:54: 18/35 done, waiting...
  06:56: 18/35 done, waiting...
  06:58: 18/35 done, waiting...
  07:00: 18/35 done, waiting...
  07:02: 18/35 done, waiting...
  07:04: 18/35 done, waiting...
  07:06: 18/35 done, waiting...
  07:08: 18/35 done, waiting...
  07:10: 18/35 done, waiting...
  07:12: 18/35 done, waiting...
  07:14: 18/35 done, waiting...
  07:16: 18/35 done, waiting...
  07:18: 18/35 done, waiting...
  07:20: 18/35 done, waiting...
  07:22: 18/35 done, waiting...
  07:24: 18/35 done, waiting...
  07:26: 18/35 done, waiting...
  07:28: 18/35 done, waiting...
  07:30: 18/35 done, waiting...
  07:32: 18/35 done, waiting...
  07:34: 18/35 done, waiting...
  07:36: 18/35 done, waiting...
  07:38: 18/35 done, waiting...
  07:40: 18/35 done, waiting...
  07:42: 18/35 done, waiting...
  07:44: 18/35 done, waiting...
  07:46: 18/35 done, waiting...
  07:48: 18/35 done, waiting...
  07:50: 18/35 done, waiting...
  07:52: 18/35 done, waiting...
  07:54: 18/35 done, waiting...
  07:56: 18/35 done, waiting...
  07:58: 18/35 done, waiting...
  08:00: 18/35 done, waiting...
  08:02: 18/35 done, waiting...
  08:04: 18/35 done, waiting...
  08:06: 18/35 done, waiting...
  08:08: 18/35 done, waiting...
  08:10: 18/35 done, waiting...
  08:12: 18/35 done, waiting...
  08:14: 18/35 done, waiting...
  08:16: 18/35 done, waiting...
  08:18: 18/35 done, waiting...
  08:20: 18/35 done, waiting...
  08:22: 18/35 done, waiting...
  08:24: 18/35 done, waiting...
  08:26: 18/35 done, waiting...
  08:28: 18/35 done, waiting...
  08:30: 18/35 done, waiting...
  08:32: 18/35 done, waiting...
  08:34: 18/35 done, waiting...
  08:36: 18/35 done, waiting...
  08:38: 18/35 done, waiting...
  08:40: 18/35 done, waiting...
  08:42: 18/35 done, waiting...
  08:44: 18/35 done, waiting...
  08:46: 18/35 done, waiting...
  08:48: 18/35 done, waiting...
  08:50: 18/35 done, waiting...
  08:52: 18/35 done, waiting...
  08:54: 18/35 done, waiting...
  08:56: 18/35 done, waiting...
  08:58: 18/35 done, waiting...
  09:00: 18/35 done, waiting...
  09:02: 18/35 done, waiting...
  09:04: 18/35 done, waiting...
  09:06: 18/35 done, waiting...
  09:08: 18/35 done, waiting...
  09:10: 18/35 done, waiting...
  09:12: 18/35 done, waiting...
  09:14: 18/35 done, waiting...
  09:16: 18/35 done, waiting...
  09:18: 18/35 done, waiting...
  09:20: 18/35 done, waiting...
  09:22: 18/35 done, waiting...
  09:24: 18/35 done, waiting...
  09:26: 18/35 done, waiting...
  09:28: 18/35 done, waiting...
  09:30: 18/35 done, waiting...
  09:32: 18/35 done, waiting...
  09:34: 18/35 done, waiting...
  09:36: 18/35 done, waiting...
  09:38: 18/35 done, waiting...
  09:40: 18/35 done, waiting...
  09:42: 18/35 done, waiting...
  09:44: 18/35 done, waiting...
  09:46: 18/35 done, waiting...
  09:48: 18/35 done, waiting...
  09:50: 18/35 done, waiting...
  09:52: 18/35 done, waiting...
  09:54: 18/35 done, waiting...
  09:56: 18/35 done, waiting...
  09:58: 18/35 done, waiting...
  10:00: 18/35 done, waiting...
  10:02: 18/35 done, waiting...
  10:04: 18/35 done, waiting...
